17
15
3
3
2
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
11	1	1	2	2	3	2	3	2	3	2	3	2	2	1	1	11
11	0	12	2	13	2	12	2	11	2	12	2	13	2	12	0	11
11	8	8	8	2	0	1	0	2	0	1	0	2	8	8	8	11
11	1	13	8	12	1	11	1	13	1	11	1	12	8	13	1	11
11	0	0	8	2	0	1	0	2	0	1	0	2	8	0	0	11
11	1	12	8	11	2	13	2	12	2	13	2	11	8	12	1	11
11	0	0	8	2	3	2	3	2	3	2	3	2	8	0	0	11
11	1	12	8	11	2	13	2	12	2	13	2	11	8	12	1	11
11	0	0	8	2	0	1	0	2	0	1	0	2	8	0	0	11
11	1	13	8	12	1	11	1	13	1	11	1	12	8	13	1	11
11	8	8	8	2	0	1	0	2	0	1	0	2	8	8	8	11
11	0	12	2	13	2	12	2	11	2	12	2	13	2	12	0	11
11	1	1	2	2	3	2	3	2	3	2	3	2	2	1	1	11
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
