17
15
1
1
2
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
11	2	12	1	12	1	11	8	11	8	11	1	13	1	13	2	11
11	2	2	0	1	0	1	8	2	8	1	0	1	0	2	2	11
11	2	12	1	12	1	11	3	2	3	1	0	13	0	13	2	11
11	0	1	0	1	11	3	3	1	3	3	11	1	0	1	0	11
11	1	11	1	11	3	3	11	3	11	3	3	11	1	11	1	11
11	0	8	3	8	8	11	1	1	1	11	8	8	3	8	0	11
11	0	11	1	11	2	0	11	11	11	0	2	11	1	11	0	11
11	0	8	3	8	8	11	1	1	1	11	8	8	3	8	0	11
11	1	11	1	11	3	3	11	3	11	3	3	11	1	11	1	11
11	0	1	0	1	11	3	3	1	3	3	11	1	0	1	0	11
11	2	12	1	12	1	11	3	2	3	1	0	13	0	13	2	11
11	2	2	0	1	0	1	8	2	8	1	0	1	0	2	2	11
11	2	12	1	12	1	11	8	11	8	11	1	13	1	13	2	11
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
